"Fecha","Temperatura Ambiente (ºC)"
"4/1/2006 1:00","23"
"4/1/2006 2:00","22.5"
"4/1/2006 3:00","22"
"4/1/2006 4:00","21.3"
"4/1/2006 5:00","20.9"
"4/1/2006 6:00","20.7"
"4/1/2006 7:00","20.4"
"4/1/2006 8:00","22.3"
"4/1/2006 9:00","24.9"
"4/1/2006 10:00","27.2"
"4/1/2006 11:00","28.5"
"4/1/2006 12:00","29.3"
"4/1/2006 13:00","30.5"
"4/1/2006 14:00","31.1"
"4/1/2006 15:00","31.1"
"4/1/2006 16:00","30.5"
"4/1/2006 17:00","29.8"
"4/1/2006 18:00","27.8"
"4/1/2006 19:00","26"
"4/1/2006 20:00","25.3"
"4/1/2006 21:00","24.9"
"4/1/2006 22:00","24.6"
"4/1/2006 23:00","24.5"
"4/2/2006 0:00","24.1"
"4/2/2006 1:00","23.8"
"4/2/2006 2:00","23.5"
"4/2/2006 3:00","22.7"
"4/2/2006 4:00","22"
"4/2/2006 5:00","21.5"
"4/2/2006 6:00","21"
"4/2/2006 7:00","21.2"
"4/2/2006 8:00","22.2"
"4/2/2006 9:00","24.8"
"4/2/2006 10:00","25.9"
"4/2/2006 11:00","27.5"
"4/2/2006 12:00","29.1"
"4/2/2006 13:00","30.7"
"4/2/2006 14:00","31.5"
"4/2/2006 15:00","32.7"
"4/2/2006 16:00","32.2"
"4/2/2006 17:00","29.3"
"4/2/2006 18:00","28.2"
"4/2/2006 19:00","26.6"
"4/2/2006 20:00","25.7"
"4/2/2006 21:00","24.8"
"4/2/2006 22:00","24.3"
"4/2/2006 23:00","23.8"
"4/3/2006 0:00","23.1"
"4/3/2006 1:00","22.8"
"4/3/2006 2:00","22.5"
"4/3/2006 3:00","21.5"
"4/3/2006 4:00","21.6"
"4/3/2006 5:00","21.8"
"4/3/2006 6:00","21.8"
"4/3/2006 7:00","21.6"
"4/3/2006 8:00","22.7"
"4/3/2006 9:00","23.6"
"4/3/2006 10:00","24.7"
"4/3/2006 11:00","26.3"
"4/3/2006 12:00","27.7"
"4/3/2006 13:00","29.2"
"4/3/2006 14:00","29.6"
"4/3/2006 15:00","28.8"
"4/3/2006 16:00","28.4"
"4/3/2006 17:00","28.2"
"4/3/2006 18:00","26.7"
"4/3/2006 19:00","25.5"
"4/3/2006 20:00","24.5"
"4/3/2006 21:00","23.8"
"4/3/2006 22:00","23.4"
"4/3/2006 23:00","22.8"
"4/4/2006 0:00","22"
"4/4/2006 1:00","21.5"
"4/4/2006 2:00","21"
"4/4/2006 3:00","20.5"
"4/4/2006 4:00","19.9"
"4/4/2006 5:00","19.6"
"4/4/2006 6:00","19.5"
"4/4/2006 7:00","19.6"
"4/4/2006 8:00","20.9"
"4/4/2006 9:00","22.6"
"4/4/2006 10:00","24.2"
"4/4/2006 11:00","25.5"
"4/4/2006 12:00","26.8"
